Self-playing 100000 games with the heuristic solver…

  11450/100000  (149.7s)   
  11500/100000  (150.3s)   
  11550/100000  (151.0s)   
  11600/100000  (151.3s)   
  11650/100000  (151.7s)   
  11700/100000  (152.5s)   
  11750/100000  (153.2s)   
  11800/100000  (153.7s)   
  11850/100000  (154.1s)   
  11900/100000  (154.8s)   
  11950/100000  (155.4s)   
  12000/100000  (156.1s)   
  12050/100000  (156.7s)   
  12100/100000  (157.7s)   
  12150/100000  (158.4s)   
  12200/100000  (159.2s)   
  12250/100000  (159.7s)   
  12300/100000  (160.3s)   
  12350/100000  (161.0s)   
  12400/100000  (161.6s)   
  12450/100000  (162.1s)   
  12500/100000  (162.7s)   
  12550/100000  (163.0s)   
  12600/100000  (163.4s)   
  12650/100000  (163.8s)   
  12700/100000  (164.3s)   
  12750/100000  (164.9s)   
  12800/100000  (165.4s)   
  12850/100000  (166.1s)   
  12900/100000  (166.6s)   
  12950/100000  (167.0s)   
  13000/100000  (167.7s)   
  13050/100000  (168.0s)   
  13100/100000  (168.5s)   
  13150/100000  (169.3s)   
  13200/100000  (170.1s)   
  13250/100000  (171.1s)   
  13300/100000  (171.7s)   
  13350/100000  (172.8s)   
  13400/100000  (173.1s)   
  13450/100000  (173.4s)   
  13500/100000  (174.0s)   
  13550/100000  (174.6s)   
  13600/100000  (175.0s)   
  13650/100000  (175.4s)   
  13700/100000  (176.3s)   
  13750/100000  (177.0s)   
  13800/100000  (178.0s)   
  13850/100000  (178.8s)   
  13900/100000  (179.4s)   
  13950/100000  (179.9s)   
  14000/100000  (180.6s)   
  14050/100000  (181.0s)   
  14100/100000  (181.5s)   
  14150/100000  (182.0s)   
  14200/100000  (182.4s)   
  14250/100000  (182.8s)   
  14300/100000  (183.5s)   
  14350/100000  (183.9s)   
  14400/100000  (184.5s)   
  14450/100000  (185.1s)   
  14500/100000  (185.7s)   
  14550/100000  (186.5s)   
  14600/100000  (186.9s)   
  14650/100000  (187.5s)   
  14700/100000  (187.8s)   
  14750/100000  (188.4s)   
  14800/100000  (189.2s)   
  14850/100000  (189.9s)   
  14900/100000  (190.7s)   
  14950/100000  (191.2s)   
  15000/100000  (191.8s)   
  15050/100000  (192.1s)   
  15100/100000  (192.7s)   
  15150/100000  (193.1s)   
  15200/100000  (193.8s)   
  15250/100000  (194.4s)   
  15300/100000  (194.9s)   
  15350/100000  (195.6s)   
  15400/100000  (196.1s)   
  15450/100000  (196.5s)   
  15500/100000  (196.9s)   
  15550/100000  (197.8s)   
  15600/100000  (198.3s)   
  15650/100000  (199.3s)   
  15700/100000  (200.0s)   
  15750/100000  (200.7s)   
  15800/100000  (201.3s)   
  15850/100000  (201.9s)   
  15900/100000  (203.3s)   
  15950/100000  (204.3s)   
  16000/100000  (204.7s)   
  16050/100000  (205.3s)   
  16100/100000  (205.9s)   
  16150/100000  (206.6s)   
  16200/100000  (207.4s)   
  16250/100000  (208.4s)   
  16300/100000  (208.8s)   
  16350/100000  (209.8s)   
  16400/100000  (210.5s)   
  16450/100000  (211.0s)   
  16500/100000  (212.0s)   
  16550/100000  (212.7s)   
  16600/100000  (213.2s)   
  16650/100000  (213.9s)   
  16700/100000  (214.4s)   
  16750/100000  (214.9s)   
  16800/100000  (215.4s)   
  16850/100000  (216.2s)   
  16900/100000  (216.9s)   
  16950/100000  (217.8s)   
  17000/100000  (218.5s)   
  17050/100000  (219.0s)   
  17100/100000  (220.1s)   
  17150/100000  (221.0s)   
  17200/100000  (221.4s)   
  17250/100000  (222.1s)   
  17300/100000  (222.6s)   
  17350/100000  (223.3s)   
  17400/100000  (223.7s)   
  17450/100000  (224.3s)   
  17500/100000  (224.7s)   
  17550/100000  (225.0s)   
  17600/100000  (225.8s)   
  17650/100000  (226.3s)   
  17700/100000  (226.8s)   
  17750/100000  (227.5s)   
  17800/100000  (228.2s)   
  17850/100000  (229.0s)   
  17900/100000  (229.7s)   
  17950/100000  (230.5s)   
  18000/100000  (230.8s)   
  18050/100000  (231.4s)   
  18100/100000  (231.8s)   
  18150/100000  (232.7s)   
  18200/100000  (233.4s)   
  18250/100000  (233.8s)   
  18300/100000  (234.2s)   
  18350/100000  (234.5s)   
  18400/100000  (235.4s)   
  18450/100000  (236.6s)   
  18500/100000  (236.9s)   
  18550/100000  (237.8s)   
  18600/100000  (238.3s)   
  18650/100000  (238.6s)   
  18700/100000  (239.2s)   
  18750/100000  (239.5s)   
  18800/100000  (240.4s)   
  18850/100000  (240.8s)   
  18900/100000  (241.5s)   
  18950/100000  (242.2s)   
  19000/100000  (242.6s)   
  19050/100000  (243.0s)   
  19100/100000  (243.7s)   
  19150/100000  (244.5s)   
  19200/100000  (245.0s)   
  19250/100000  (245.2s)   
  19300/100000  (245.7s)   
  19350/100000  (246.5s)   
  19400/100000  (247.4s)   
  19450/100000  (248.0s)   
  19500/100000  (248.8s)   
  19550/100000  (249.4s)   
  19600/100000  (249.7s)   
  19650/100000  (250.3s)   
  19700/100000  (251.1s)   
  19750/100000  (251.7s)   
  19800/100000  (252.2s)   
  19850/100000  (252.7s)   
  19900/100000  (253.4s)   
  19950/100000  (253.8s)   
  20000/100000  (254.6s)   
  20050/100000  (255.1s)   
  20100/100000  (255.7s)   
  20150/100000  (256.7s)   
  20200/100000  (257.5s)   
  20250/100000  (258.0s)   
  20300/100000  (258.4s)   
  20350/100000  (259.0s)   
  20400/100000  (259.8s)   
  20450/100000  (260.3s)   
  20500/100000  (260.8s)   
  20550/100000  (261.5s)   
  20600/100000  (261.9s)   
  20650/100000  (262.5s)   
  20700/100000  (263.3s)   
  20750/100000  (264.0s)   
  20800/100000  (264.7s)   
  20850/100000  (265.0s)   
  20900/100000  (265.7s)   
  20950/100000  (266.9s)   
  21000/100000  (267.3s)   
  21050/100000  (268.1s)   
  21100/100000  (269.0s)   
  21150/100000  (269.7s)   
  21200/100000  (270.7s)   
  21250/100000  (271.1s)   
  21300/100000  (271.9s)   
  21350/100000  (272.5s)   
  21400/100000  (272.9s)   
  21450/100000  (273.7s)   
  21500/100000  (274.5s)   
  21550/100000  (275.1s)   
  21600/100000  (275.6s)   
  21650/100000  (276.2s)   
  21700/100000  (277.3s)   
  21750/100000  (278.1s)   
  21800/100000  (278.8s)   
  21850/100000  (279.5s)   
  21900/100000  (280.0s)   
  21950/100000  (280.5s)   
  22000/100000  (281.1s)   
  22050/100000  (282.0s)   
  22100/100000  (283.0s)   
