Self-playing 100000 games with the heuristic solver…

  11450/100000  (124.1s)   
  11500/100000  (124.4s)   
  11550/100000  (125.1s)   
  11600/100000  (125.5s)   
  11650/100000  (126.2s)   
  11700/100000  (126.7s)   
  11750/100000  (127.2s)   
  11800/100000  (127.6s)   
  11850/100000  (128.1s)   
  11900/100000  (128.5s)   
  11950/100000  (129.2s)   
  12000/100000  (129.7s)   
  12050/100000  (130.2s)   
  12100/100000  (130.7s)   
  12150/100000  (130.9s)   
  12200/100000  (131.5s)   
  12250/100000  (132.2s)   
  12300/100000  (133.0s)   
  12350/100000  (133.7s)   
  12400/100000  (134.1s)   
  12450/100000  (134.7s)   
  12500/100000  (134.9s)   
  12550/100000  (135.6s)   
  12600/100000  (136.3s)   
  12650/100000  (136.6s)   
  12700/100000  (137.1s)   
  12750/100000  (137.6s)   
  12800/100000  (138.6s)   
  12850/100000  (139.2s)   
  12900/100000  (139.8s)   
  12950/100000  (140.2s)   
  13000/100000  (140.8s)   
  13050/100000  (141.2s)   
  13100/100000  (141.8s)   
  13150/100000  (142.3s)   
  13200/100000  (142.8s)   
  13250/100000  (143.2s)   
  13300/100000  (143.5s)   
  13350/100000  (144.0s)   
  13400/100000  (144.3s)   
  13450/100000  (144.8s)   
  13500/100000  (145.4s)   
  13550/100000  (145.8s)   
  13600/100000  (146.3s)   
  13650/100000  (146.9s)   
  13700/100000  (147.6s)   
  13750/100000  (148.4s)   
  13800/100000  (148.9s)   
  13850/100000  (149.3s)   
  13900/100000  (149.9s)   
  13950/100000  (150.3s)   
  14000/100000  (151.1s)   
  14050/100000  (151.4s)   
  14100/100000  (151.8s)   
  14150/100000  (152.2s)   
  14200/100000  (152.6s)   
  14250/100000  (153.0s)   
  14300/100000  (153.6s)   
  14350/100000  (154.1s)   
  14400/100000  (154.6s)   
  14450/100000  (155.1s)   
  14500/100000  (155.5s)   
  14550/100000  (155.8s)   
  14600/100000  (156.1s)   
  14650/100000  (156.6s)   
  14700/100000  (157.1s)   
  14750/100000  (158.3s)   
  14800/100000  (158.5s)   
  14850/100000  (159.3s)   
  14900/100000  (159.9s)   
  14950/100000  (160.5s)   
  15000/100000  (160.9s)   
  15050/100000  (161.5s)   
  15100/100000  (161.9s)   
  15150/100000  (162.5s)   
  15200/100000  (163.0s)   
  15250/100000  (163.4s)   
  15300/100000  (164.2s)   
  15350/100000  (164.8s)   
  15400/100000  (165.3s)   
  15450/100000  (165.9s)   
  15500/100000  (166.5s)   
  15550/100000  (166.9s)   
  15600/100000  (167.4s)   
  15650/100000  (168.0s)   
  15700/100000  (168.6s)   
  15750/100000  (169.0s)   
  15800/100000  (169.8s)   
  15850/100000  (170.3s)   
  15900/100000  (170.6s)   
  15950/100000  (171.1s)   
  16000/100000  (171.5s)   
  16050/100000  (172.2s)   
  16100/100000  (172.6s)   
  16150/100000  (173.1s)   
  16200/100000  (173.6s)   
  16250/100000  (174.2s)   
  16300/100000  (174.6s)   
  16350/100000  (175.2s)   
  16400/100000  (175.6s)   
  16450/100000  (175.8s)   
  16500/100000  (176.3s)   
  16550/100000  (176.7s)   
  16600/100000  (177.2s)   
  16650/100000  (178.1s)   
  16700/100000  (178.8s)   
  16750/100000  (179.1s)   
  16800/100000  (179.6s)   
  16850/100000  (180.2s)   
  16900/100000  (180.7s)   
  16950/100000  (181.1s)   
  17000/100000  (181.4s)   
  17050/100000  (182.1s)   
  17100/100000  (182.8s)   
  17150/100000  (183.3s)   
  17200/100000  (183.7s)   
  17250/100000  (184.1s)   
  17300/100000  (184.3s)   
  17350/100000  (184.8s)   
  17400/100000  (185.7s)   
  17450/100000  (186.1s)   
  17500/100000  (186.5s)   
  17550/100000  (187.3s)   
  17600/100000  (187.7s)   
  17650/100000  (188.1s)   
  17700/100000  (188.5s)   
  17750/100000  (189.1s)   
  17800/100000  (189.6s)   
  17850/100000  (190.0s)   
  17900/100000  (190.5s)   
  17950/100000  (191.0s)   
  18000/100000  (191.6s)   
  18050/100000  (192.4s)   
  18100/100000  (193.0s)   
  18150/100000  (193.3s)   
  18200/100000  (193.8s)   
  18250/100000  (194.2s)   
  18300/100000  (195.1s)   
  18350/100000  (195.8s)   
  18400/100000  (196.5s)   
  18450/100000  (196.9s)   
  18500/100000  (197.2s)   
  18550/100000  (197.7s)   
  18600/100000  (198.4s)   
  18650/100000  (198.8s)   
  18700/100000  (199.3s)   
  18750/100000  (199.7s)   
  18800/100000  (200.1s)   
  18850/100000  (200.5s)   
  18900/100000  (201.1s)   
  18950/100000  (201.7s)   
  19000/100000  (202.5s)   
  19050/100000  (203.1s)   
  19100/100000  (203.6s)   
  19150/100000  (204.1s)   
  19200/100000  (204.6s)   
  19250/100000  (205.0s)   
  19300/100000  (205.5s)   
  19350/100000  (205.8s)   
  19400/100000  (206.4s)   
  19450/100000  (206.8s)   
  19500/100000  (207.3s)   
  19550/100000  (207.7s)   
  19600/100000  (208.8s)   
  19650/100000  (209.5s)   
  19700/100000  (210.5s)   
  19750/100000  (211.3s)   
  19800/100000  (211.8s)   
  19850/100000  (212.6s)   
  19900/100000  (212.9s)   
  19950/100000  (213.4s)   
  20000/100000  (213.8s)   
  20050/100000  (214.3s)   
  20100/100000  (214.7s)   
  20150/100000  (215.5s)   
  20200/100000  (216.1s)   
  20250/100000  (216.3s)   
  20300/100000  (216.9s)   
  20350/100000  (217.4s)   
  20400/100000  (217.9s)   
  20450/100000  (218.3s)   
  20500/100000  (218.8s)   
  20550/100000  (219.1s)   
  20600/100000  (219.7s)   
  20650/100000  (220.4s)   
  20700/100000  (221.0s)   
  20750/100000  (221.6s)   
  20800/100000  (222.2s)   
  20850/100000  (222.8s)   
  20900/100000  (223.0s)   
  20950/100000  (224.0s)   
  21000/100000  (224.9s)   
  21050/100000  (225.4s)   
  21100/100000  (226.3s)   
  21150/100000  (226.9s)   
  21200/100000  (227.4s)   
  21250/100000  (228.1s)   
  21300/100000  (228.9s)   
  21350/100000  (229.4s)   
  21400/100000  (229.7s)   
  21450/100000  (230.1s)   
  21500/100000  (230.9s)   
  21550/100000  (231.2s)   
  21600/100000  (232.0s)   
  21650/100000  (233.0s)   
  21700/100000  (233.4s)   
  21750/100000  (233.7s)   
  21800/100000  (234.1s)   
  21850/100000  (234.4s)   
  21900/100000  (234.9s)   
  21950/100000  (235.5s)   
  22000/100000  (236.0s)   
